번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트)
1,APPLE INC,131724,4.11,0.34
2,MICROSOFT CORP,111496,3.48,0.31
3,AMAZON.COM INC,54887,1.71,0.27
4,NVIDIA CORP,51299,1.6,0.32
5,INVESCO MSCI USA ETF,44306,1.38,81.32
6,ALPHABET INC CL A,42801,1.34,0.4
7,META PLATFORMS INC CLASS A,41638,1.3,0.41
8,ALPHABET INC CL C,33359,1.04,0.32
9,UNITEDHEALTH GROUP INC,27938,0.87,0.45
10,NOVO NORDISK A/S B,24663,0.77,0.54
11,TAIWAN SEMICONDUCTOR SP ADR,24373,0.76,0.35
12,ISHARES CORE S+P 500 ETF,22207,0.69,0.41
13,TESLA INC,21710,0.68,0.21
14,VISA INC CLASS A SHARES,19513,0.61,0.37
15,JPMORGAN CHASE + CO,19143,0.6,0.3
16,MASTERCARD INC   A,18714,0.58,0.37
17,EXXON MOBIL CORP,16330,0.51,0.32
18,TAIWAN SEMICONDUCTOR MANUFAC,16326,0.51,0.25
19,BROADCOM INC,16286,0.51,0.24
20,ROCHE HOLDING AG GENUSSCHEIN,16256,0.51,0.62
21,ASML HOLDING NV,15891,0.5,0.41
22,ELI LILLY + CO,15513,0.48,0.22
23,ADOBE INC,15475,0.48,0.45
24,NESTLE SA REG,15149,0.47,0.38
25,BOOKING HOLDINGS INC,14600,0.46,0.93
26,COSTCO WHOLESALE CORP,13526,0.42,0.36
27,PROCTER + GAMBLE CO/THE,13410,0.42,0.3
28,HCA HEALTHCARE INC,12933,0.4,1.4
29,JOHNSON + JOHNSON,12930,0.4,0.27
30,MERCK + CO. INC.,12348,0.39,0.35
31,THE CIGNA GROUP,12173,0.38,1.11
32,ACCENTURE PLC CL A,12015,0.38,0.4
33,COMCAST CORP CLASS A,11941,0.37,0.53
34,ELEVANCE HEALTH INC,11845,0.37,0.84
35,BERKSHIRE HATHAWAY INC CL B,11817,0.37,0.2
36,CISCO SYSTEMS INC,11566,0.36,0.44
37,LVMH MOET HENNESSY LOUIS VUI,11498,0.36,0.22
38,HOME DEPOT INC,11317,0.35,0.26
39,NOVARTIS AG REG,11031,0.34,0.37
40,BNP PARIBAS,10884,0.34,1.06
